infinitive,past_simple,past_participle,translation,level
Slit,Slit,Slit,Fendre,intermediate
Smell,Smelt,Smelt,Sentir (odeur),beginner
Sneak,Snuck,Snuck,Se glisser,intermediate
Sow,Sowed,Sown,Semer,intermediate
Speak,Spoke,Spoken,Parler,beginner
Speed,Sped/Speeded,Sped/Speeded,Accélérer,intermediate
Spell,Spelt,Spelt,Épeler,beginner
Spend,Spent,Spent,Dépenser/Passer (temps),beginner
Spill,Spilt,Spilt,Renverser,intermediate
Spin,Span,Spun,Tourner/Filer,intermediate
Spit,Spat,Spat,Cracher,intermediate
Split,Split,Split,Diviser,intermediate
Spoil,Spoilt,Spoilt,Gâcher,intermediate
Spread,Spread,Spread,Étaler,intermediate
Spring,Sprang,Sprung,Bondir,intermediate
Stand,Stood,Stood,Se tenir debout,beginner
Steal,Stole,Stolen,Voler (dérober),beginner
Stick,Stuck,Stuck,Coller,intermediate
Sting,Stung,Stung,Piquer,intermediate
Stink,Stank,Stunk,Puer,intermediate
Stride,Strode,Stridden,Marcher à grands pas,expert
Strike,Struck,Struck,Frapper,intermediate
String,Strung,Strung,Enfiler,intermediate
Strip,Stripped,Stripped,Dépouiller,intermediate
Strive,Strove,Striven,S'efforcer,expert
Sublet,Sublet,Sublet,Sous-louer,intermediate
Sunburn,Sunburnt,Sunburnt,Attraper un coup de soleil,intermediate
Swear,Swore,Sworn,Jurer,intermediate
Sweat,Sweat,Sweat,Transpirer,intermediate
Sweep,Swept,Swept,Balayer,intermediate
Swell,Swelled,Swollen,Gonfler,intermediate
Swim,Swam,Swum,Nager,beginner
Swing,Swung,Swung,Balançer,intermediate
Take,Took,Taken,Prendre,beginner
Teach,Taught,Taught,Enseigner,beginner
Tear,Tore,Torn,Déchirer,intermediate
Tell,Told,Told,Raconter,beginner
Think,Thought,Thought,Penser,beginner
Thrive,Throve,Thriven,Prospérer,expert
Throw,Threw,Thrown,Jeter,beginner
Thrust,Thrust,Thrust,Pousser brusquement,expert
Tread,Trod,Trodden,Piétiner,expert
Undergo,Underwent,Undergone,Subir,intermediate
Understand,Understood,Understood,Comprendre,beginner
Undertake,Undertook,Undertaken,Entreprendre,intermediate
Upset,Upset,Upset,Vexer/Bouleverser,intermediate
Vex,Vexed,Vexed,Contrarier,expert
Wake,Woke,Woken,Se réveiller,beginner
Wear,Wore,Worn,Porter (vêtements),beginner
Weave,Wove,Woven,Tisser,intermediate
Wed,Wed,Wed,Se marier,intermediate
Weep,Wept,Wept,Pleurer,intermediate
Wend,Wended,Wended,Aller son chemin,expert
Wet,Wet,Wet,Mouiller,intermediate
Win,Won,Won,Gagner,beginner
Wind,Wound,Wound,Remonter/Enrouler,intermediate
Withdraw,Withdrew,Withdrawn,Se retirer,intermediate
Withhold,Withheld,Withheld,Retenir,intermediate
Withstand,Withstood,Withstood,Résister,intermediate
Wring,Wrung,Wrung,Essorer,expert
Write,Wrote,Written,Écrire,beginner
Zinc,Zinced,Zinced,Zinguer,expert
